#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 20260602    17:51:01       0    245     73      -     64     19      0      0      0      0  13801   2850      0      0 
 20260602    17:51:02       0    248     73      -     61     19      0      0      0      0  13801   2850      0      0 
 20260602    17:51:03       0    259     74      -     67     21      0      0      0      0  13801   2850      0      0 
 20260602    17:51:04       0    250     74      -     64     20      0      0      0      0  13801   2850      0      0 
 20260602    17:51:05       0    247     73      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:51:06       0    258     74      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:51:07       0    251     73      -     63     20      0      0      0      0  13801   2850      0      0 
 20260602    17:51:08       0    248     73      -     66     21      0      0      0      0  13801   2850      0      0 
 20260602    17:51:09       0    259     73      -     68     21      0      0      0      0  13801   2850      0      0 
 20260602    17:51:10       0    249     74      -     66     20      0      0      0      0  13801   2850      0      0 
 20260602    17:51:11       0    250     74      -     61     19      0      0      0      0  13801   2850      0      0 
 20260602    17:51:12       0    257     73      -     64     20      0      0      0      0  13801   2850      0      0 
 20260602    17:51:13       0    251     73      -     63     19      0      0      0      0  13801   2850      0      0 
 20260602    17:51:14       0    248     71      -     68     21      0      0      0      0  13801   2850      0      0 
 20260602    17:51:15       0    193     72      -     56     19      0      0      0      0  13801   2835      0      0 
 20260602    17:51:16       0    246     73      -     55     20      0      0      0      0  13801   2850      0      0 
 20260602    17:51:17       0    248     73      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:51:18       0    261     74      -     24      4      0      0      0      0  13801   2850      0      0 
 20260602    17:51:19       0    253     74      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:51:20       0    252     73      -     67     22      0      0      0      0  13801   2850      0      0 
 20260602    17:51:21       0    257     74      -     43     12      0      0      0      0  13801   2850      0      0 
 20260602    17:51:22       0    252     73      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:51:23       0    249     74      -     69     22      0      0      0      0  13801   2850      0      0 
 20260602    17:51:24       0    254     72      -     60     19      0      0      0      0  13801   2850      0      0 
 20260602    17:51:25       0    256     74      -     64     19      0      0      0      0  13801   2850      0      0 
 20260602    17:51:26       0    253     74      -     66     20      0      0      0      0  13801   2850      0      0 
 20260602    17:51:28       0    250     72      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:51:29       0    259     74      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:51:30       0    249     74      -     67     21      0      0      0      0  13801   2850      0      0 
 20260602    17:51:31       0    251     72      -     65     21      0      0      0      0  13801   2850      0      0 
