#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 20260602    17:51:28       0    259     74      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:51:29       0    248     73      -     67     21      0      0      0      0  13801   2850      0      0 
 20260602    17:51:30       0    251     73      -     65     21      0      0      0      0  13801   2850      0      0 
 20260602    17:51:31       0    258     74      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:51:32       0    250     74      -     68     21      0      0      0      0  13801   2850      0      0 
 20260602    17:51:33       0    251     73      -     66     20      0      0      0      0  13801   2850      0      0 
 20260602    17:51:34       0    258     74      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:51:35       0    247     73      -     63     19      0      0      0      0  13801   2850      0      0 
 20260602    17:51:36       0    199     73      -     53     22      0      0      0      0  13801   2842      0      0 
 20260602    17:51:37       0    248     73      -     39     17      0      0      0      0  13801   2835      0      0 
 20260602    17:51:38       0    255     73      -     63     19      0      0      0      0  13801   2850      0      0 
 20260602    17:51:39       0    255     74      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:51:40       0    259     74      -     67     22      0      0      0      0  13801   2850      0      0 
 20260602    17:51:41       0    254     73      -     62     19      0      0      0      0  13801   2850      0      0 
 20260602    17:51:42       0    254     72      -     30      8      0      0      0      0  13801   2842      0      0 
 20260602    17:51:43       0    250     74      -     63     20      0      0      0      0  13801   2850      0      0 
 20260602    17:51:44       0    254     73      -     64     20      0      0      0      0  13801   2842      0      0 
 20260602    17:51:45       0    256     74      -     66     21      0      0      0      0  13801   2850      0      0 
 20260602    17:51:46       0    253     73      -     64     20      0      0      0      0  13801   2850      0      0 
 20260602    17:51:47       0    245     72      -     19      3      0      0      0      0  13801   2850      0      0 
 20260602    17:51:48       0    263     73      -     63     20      0      0      0      0  13801   2850      0      0 
 20260602    17:51:49       0    252     73      -     54     16      0      0      0      0  13801   2842      0      0 
 20260602    17:51:50       0    253     73      -     68     21      0      0      0      0  13801   2850      0      0 
 20260602    17:51:51       0    257     73      -     63     20      0      0      0      0  13801   2850      0      0 
 20260602    17:51:52       0    260     74      -     80     24      0      0      0      0  13801   2850      0      0 
 20260602    17:51:53       0    253     73      -     72     24      0      0      0      0  13801   2850      0      0 
 20260602    17:51:54       0    252     71      -     28      6      0      0      0      0  13801   2850      0      0 
 20260602    17:51:55       0    255     73      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:51:56       0    254     71      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:51:57       0    235     73      -     58     18      0      0      0      0  13801   2835      0      0 
 20260602    17:51:58       0    247     72      -     50     19      0      0      0      0  13801   2835      0      0 
 20260602    17:51:59       0    258     75      -     53     15      0      0      0      0  13801   2842      0      0 
 20260602    17:52:00       0    251     74      -     62     20      0      0      0      0  13801   2850      0      0 
 20260602    17:52:01       0    266     74      -     40     11      0      0      0      0  13801   2850      0      0 
 20260602    17:52:02       0    245     73      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:52:03       0    252     72      -     70     21      0      0      0      0  13801   2850      0      0 
 20260602    17:52:04       0    257     74      -     60     18      0      0      0      0  13801   2850      0      0 
 20260602    17:52:05       0    254     73      -     67     21      0      0      0      0  13801   2850      0      0 
 20260602    17:52:06       0    266     75      -     35      9      0      0      0      0  13801   2842      0      0 
 20260602    17:52:07       0    244     73      -     62     19      0      0      0      0  13801   2850      0      0 
 20260602    17:52:08       0    257     72      -     66     21      0      0      0      0  13801   2842      0      0 
 20260602    17:52:09       0    258     74      -     58     17      0      0      0      0  13801   2850      0      0 
 20260602    17:52:11       0    255     74      -     84     30      0      0      0      0  13801   2850      0      0 
