#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 20260602    17:58:01       0    258     73      -     30      7      0      0      0      0  13801   2850      0      0 
 20260602    17:58:01       1    223     57      -     63     17      0      0      0      0  13801   2895      0      0 
 20260602    17:58:01       2    259     67      -     48     13      0      0      0      0  13801   2887      0      0 
 20260602    17:58:01       3    260     72      -     64     24      0      0      0      0  13801   2955      0      0 
 20260602    17:58:02       0    246     73      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:58:02       1    224     57      -     62     17      0      0      0      0  13801   2895      0      0 
 20260602    17:58:02       2    253     67      -     65     21      0      0      0      0  13801   2887      0      0 
 20260602    17:58:02       3    260     70      -     27      6      0      0      0      0  13801   2940      0      0 
 20260602    17:58:03       0    246     73      -     66     20      0      0      0      0  13801   2850      0      0 
 20260602    17:58:03       1    235     58      -     63     17      0      0      0      0  13801   2895      0      0 
 20260602    17:58:03       2    246     67      -     62     19      0      0      0      0  13801   2887      0      0 
 20260602    17:58:03       3    262     72      -     68     25      0      0      0      0  13801   2947      0      0 
 20260602    17:58:04       0    259     74      -     20      2      0      0      0      0  13801   2850      0      0 
 20260602    17:58:04       1    225     57      -     63     17      0      0      0      0  13801   2895      0      0 
 20260602    17:58:04       2    260     68      -     65     21      0      0      0      0  13801   2887      0      0 
 20260602    17:58:04       3    259     72      -     68     26      0      0      0      0  13801   2947      0      0 
 20260602    17:58:05       0    246     74      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:58:05       1    223     55      -     34      7      0      0      0      0  13801   2895      0      0 
 20260602    17:58:05       2    251     68      -     63     19      0      0      0      0  13801   2887      0      0 
 20260602    17:58:05       3    262     72      -     64     24      0      0      0      0  13801   2940      0      0 
 20260602    17:58:06       0    249     74      -     62     19      0      0      0      0  13801   2850      0      0 
 20260602    17:58:06       1    235     57      -     65     17      0      0      0      0  13801   2895      0      0 
 20260602    17:58:06       2    248     67      -     60     19      0      0      0      0  13801   2887      0      0 
 20260602    17:58:06       3    266     70      -     36     10      0      0      0      0  13801   2940      0      0 
 20260602    17:58:07       0    261     74      -     29      6      0      0      0      0  13801   2850      0      0 
 20260602    17:58:07       1    223     58      -     65     17      0      0      0      0  13801   2895      0      0 
 20260602    17:58:07       2    261     67      -     63     20      0      0      0      0  13801   2887      0      0 
 20260602    17:58:07       3    269     73      -     66     24      0      0      0      0  13801   2947      0      0 
 20260602    17:58:08       0    249     73      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:58:08       1    227     55      -     27      4      0      0      0      0  13801   2895      0      0 
 20260602    17:58:08       2    250     68      -     63     20      0      0      0      0  13801   2887      0      0 
 20260602    17:58:08       3    263     72      -     64     24      0      0      0      0  13801   2947      0      0 
 20260602    17:58:09       0    249     74      -     62     19      0      0      0      0  13801   2850      0      0 
 20260602    17:58:09       1    224     57      -     65     18      0      0      0      0  13801   2895      0      0 
 20260602    17:58:09       2    246     65      -     40     12      0      0      0      0  13801   2887      0      0 
 20260602    17:58:09       3    259     72      -     65     24      0      0      0      0  13801   2940      0      0 
 20260602    17:58:10       0    259     73      -     30      7      0      0      0      0  13801   2850      0      0 
 20260602    17:58:10       1    226     55      -     63     17      0      0      0      0  13801   2895      0      0 
 20260602    17:58:10       2    255     68      -     63     20      0      0      0      0  13801   2887      0      0 
 20260602    17:58:10       3    265     71      -     40     12      0      0      0      0  13801   2947      0      0 
 20260602    17:58:11       0    250     74      -     64     20      0      0      0      0  13801   2850      0      0 
 20260602    17:58:11       1    235     57      -     63     17      0      0      0      0  13801   2895      0      0 
 20260602    17:58:11       2    245     68      -     64     21      0      0      0      0  13801   2887      0      0 
 20260602    17:58:11       3    262     72      -     65     25      0      0      0      0  13801   2947      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 20260602    17:58:12       0    250     74      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:58:12       1    225     57      -     64     17      0      0      0      0  13801   2895      0      0 
 20260602    17:58:12       2    253     66      -     23      4      0      0      0      0  13801   2887      0      0 
 20260602    17:58:12       3    261     72      -     68     27      0      0      0      0  13801   2947      0      0 
 20260602    17:58:13       0    257     74      -     41     11      0      0      0      0  13801   2850      0      0 
 20260602    17:58:13       1    228     56      -     56     15      0      0      0      0  13801   2895      0      0 
 20260602    17:58:13       2    251     68      -     65     20      0      0      0      0  13801   2887      0      0 
 20260602    17:58:13       3    262     72      -     68     26      0      0      0      0  13801   2940      0      0 
 20260602    17:58:14       0    251     73      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:58:14       1    233     57      -     63     17      0      0      0      0  13801   2895      0      0 
 20260602    17:58:14       2    251     68      -     64     20      0      0      0      0  13801   2887      0      0 
 20260602    17:58:14       3    266     71      -     47     15      0      0      0      0  13801   2940      0      0 
 20260602    17:58:15       0    250     73      -     66     20      0      0      0      0  13801   2850      0      0 
 20260602    17:58:15       1    223     57      -     60     16      0      0      0      0  13801   2895      0      0 
 20260602    17:58:15       2    250     65      -     25      5      0      0      0      0  13801   2887      0      0 
 20260602    17:58:15       3    212     68      -    100      0      0      0      0      0  13801   2955      0      0 
 20260602    17:58:16       0    212     73      -     51      1      0      0      0      0  13801   2850      0      0 
 20260602    17:58:16       1    225     56      -     30     10      0      0      0      0  13801   2880      0      0 
 20260602    17:58:16       2    219     67      -     45     21      0      0      0      0  13801   2895      0      0 
 20260602    17:58:16       3    158     70      -     48     24      0      0      0      0  13801   2955      0      0 
 20260602    17:58:17       0    241     73      -     48     19      0      0      0      0  13801   2835      0      0 
 20260602    17:58:17       1    224     58      -     39     17      0      0      0      0  13801   2895      0      0 
 20260602    17:58:17       2    239     66      -     53     20      0      0      0      0  13801   2872      0      0 
 20260602    17:58:17       3    248     71      -     37     20      0      0      0      0  13801   2940      0      0 
 20260602    17:58:18       0    257     74      -     69     22      0      0      0      0  13801   2850      0      0 
 20260602    17:58:18       1    222     57      -     64     17      0      0      0      0  13801   2895      0      0 
 20260602    17:58:18       2    256     67      -     63     20      0      0      0      0  13801   2887      0      0 
 20260602    17:58:18       3    257     71      -     67     25      0      0      0      0  13801   2955      0      0 
 20260602    17:58:19       0    252     73      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:58:19       1    234     58      -     31      5      0      0      0      0  13801   2895      0      0 
 20260602    17:58:19       2    246     65      -     64     20      0      0      0      0  13801   2887      0      0 
 20260602    17:58:19       3    257     70      -     64     24      0      0      0      0  13801   2947      0      0 
 20260602    17:58:20       0    250     74      -     58     18      0      0      0      0  13801   2850      0      0 
 20260602    17:58:20       1    222     57      -     63     17      0      0      0      0  13801   2895      0      0 
 20260602    17:58:20       2    251     67      -     51     14      0      0      0      0  13801   2887      0      0 
 20260602    17:58:20       3    267     72      -     25      5      0      0      0      0  13801   2940      0      0 
 20260602    17:58:21       0    235     73      -     63     20      0      0      0      0  13801   2850      0      0 
 20260602    17:58:21       1    223     56      -     51     14      0      0      0      0  13801   2895      0      0 
 20260602    17:58:21       2    244     67      -     64     21      0      0      0      0  13801   2887      0      0 
 20260602    17:58:21       3    253     71      -     64     24      0      0      0      0  13801   2955      0      0 
 20260602    17:58:22       0    256     73      -     62     19      0      0      0      0  13801   2850      0      0 
 20260602    17:58:22       1    224     57      -     64     17      0      0      0      0  13801   2895      0      0 
 20260602    17:58:22       2    252     66      -     63     21      0      0      0      0  13801   2887      0      0 
 20260602    17:58:22       3    254     71      -     67     25      0      0      0      0  13801   2940      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 20260602    17:58:23       0    245     74      -     62     19      0      0      0      0  13801   2850      0      0 
 20260602    17:58:23       1    216     56      -     52     13      0      0      0      0  13801   2895      0      0 
 20260602    17:58:23       2    250     68      -     63     19      0      0      0      0  13801   2887      0      0 
 20260602    17:58:23       3    264     71      -     26      7      0      0      0      0  13801   2955      0      0 
 20260602    17:58:24       0    244     71      -     41     12      0      0      0      0  13801   2850      0      0 
 20260602    17:58:24       1    225     58      -     51     13      0      0      0      0  13801   2895      0      0 
 20260602    17:58:24       2    247     67      -     60     19      0      0      0      0  13801   2887      0      0 
 20260602    17:58:24       3    256     71      -     65     25      0      0      0      0  13801   2955      0      0 
 20260602    17:58:25       0    255     73      -     63     19      0      0      0      0  13801   2850      0      0 
 20260602    17:58:25       1    216     57      -     64     17      0      0      0      0  13801   2895      0      0 
 20260602    17:58:25       2    254     68      -     23      4      0      0      0      0  13801   2887      0      0 
 20260602    17:58:25       3    258     72      -     64     24      0      0      0      0  13801   2955      0      0 
 20260602    17:58:26       0    247     73      -     64     19      0      0      0      0  13801   2850      0      0 
 20260602    17:58:26       1    233     57      -     28      5      0      0      0      0  13801   2895      0      0 
 20260602    17:58:26       2    250     68      -     63     20      0      0      0      0  13801   2887      0      0 
 20260602    17:58:26       3    261     70      -     53     20      0      0      0      0  13801   2940      0      0 
 20260602    17:58:27       0    251     71      -     29      7      0      0      0      0  13801   2850      0      0 
 20260602    17:58:27       1    218     57      -     65     17      0      0      0      0  13801   2895      0      0 
 20260602    17:58:27       2    248     66      -     61     19      0      0      0      0  13801   2887      0      0 
 20260602    17:58:27       3    266     71      -     65     26      0      0      0      0  13801   2947      0      0 
 20260602    17:58:28       0    261     74      -     70     20      0      0      0      0  13801   2850      0      0 
 20260602    17:58:28       1    223     55      -     59     15      0      0      0      0  13801   2895      0      0 
 20260602    17:58:28       2    255     67      -     44     12      0      0      0      0  13801   2887      0      0 
 20260602    17:58:28       3    253     71      -     63     24      0      0      0      0  13801   2947      0      0 
 20260602    17:58:29       0    301     74      -     64     20      0      0      0      0  13801   2850      0      0 
 20260602    17:58:29       1    226     57      -     66     18      0      0      0      0  13801   2895      0      0 
 20260602    17:58:29       2    243     67      -     62     20      0      0      0      0  13801   2887      0      0 
 20260602    17:58:29       3    259     70      -     63     24      0      0      0      0  13801   2955      0      0 
 20260602    17:58:30       0    249     74      -     66     21      0      0      0      0  13801   2850      0      0 
 20260602    17:58:30       1    225     57      -     60     15      0      0      0      0  13801   2895      0      0 
 20260602    17:58:30       2    249     66      -     60     19      0      0      0      0  13801   2887      0      0 
 20260602    17:58:30       3    265     71      -     43     13      0      0      0      0  13801   2947      0      0 
